Type,location,id,edges--elec_edge--constraints--MinFlowConstraint,edges--elec_edge--constraints--MinDownTimeConstraint,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--constraints--MinUpTimeConstraint,edges--elec_edge--constraints--RampingLimitConstraint,edges--elec_edge--can_retire,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--can_expand,edges--elec_edge--uc,edges--elec_edge--has_capacity,edges--fuel_edge--unidirectional,edges--fuel_edge--commodity,edges--fuel_edge--has_capacity,edges--co2_edge--end_vertex,edges--co2_edge--unidirectional,edges--co2_edge--commodity,edges--co2_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--elec_edge--integer_decisions,edges--elec_edge--min_down_time,edges--elec_edge--lifetime,edges--elec_edge--wacc,edges--elec_edge--capital_recovery_period,edges--elec_edge--fixed_om_cost,edges--elec_edge--existing_capacity,edges--elec_edge--min_up_time,edges--elec_edge--capacity_size,edges--elec_edge--ramp_down_fraction,edges--elec_edge--end_vertex,edges--elec_edge--variable_om_cost,edges--elec_edge--investment_cost,edges--elec_edge--ramp_up_fraction,edges--elec_edge--min_flow_fraction,edges--elec_edge--startup_cost,edges--fuel_edge--start_vertex,transforms--fuel_consumption,transforms--emission_rate,Note
ThermalPower,BR_MT,BR_MT_H2Power_CC,True,False,True,False,True,True,True,Electricity,True,False,True,True,Hydrogen,False,co2_emitted_BR,True,CO2,False,True,Hydrogen,False,4,30,0.08,20,41190,0,4,570,1,elec_BR_MT,7.53,1155402,1,0.3,61,h2_BR_MT,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_MS,BR_MS_H2Power_CC,True,False,True,False,True,True,True,Electricity,True,False,True,True,Hydrogen,False,co2_emitted_BR,True,CO2,False,True,Hydrogen,False,4,30,0.08,20,41190,0,4,570,1,elec_BR_MS,7.53,1155402,1,0.3,61,h2_BR_MS,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_MG,BR_MG_H2Power_CC,True,False,True,False,True,True,True,Electricity,True,False,True,True,Hydrogen,False,co2_emitted_BR,True,CO2,False,True,Hydrogen,False,4,30,0.08,20,41190,0,4,570,1,elec_BR_MG,7.53,1155402,1,0.3,61,h2_BR_MG,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_PA,BR_PA_H2Power_CC,True,False,True,False,True,True,True,Electricity,True,False,True,True,Hydrogen,False,co2_emitted_BR,True,CO2,False,True,Hydrogen,False,4,30,0.08,20,41190,0,4,570,1,elec_BR_PA,7.53,1155402,1,0.3,61,h2_BR_PA,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_PB,BR_PB_H2Power_CC,True,False,True,False,True,True,True,Electricity,True,False,True,True,Hydrogen,False,co2_emitted_BR,True,CO2,False,True,Hydrogen,False,4,30,0.08,20,41190,0,4,570,1,elec_BR_PB,7.53,1155402,1,0.3,61,h2_BR_PB,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_PR,BR_PR_H2Power_CC,True,False,True,False,True,True,True,Electricity,True,False,True,True,Hydrogen,False,co2_emitted_BR,True,CO2,False,True,Hydrogen,False,4,30,0.08,20,41190,0,4,570,1,elec_BR_PR,7.53,1155402,1,0.3,61,h2_BR_PR,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_PE,BR_PE_H2Power_CC,True,False,True,False,True,True,True,Electricity,True,False,True,True,Hydrogen,False,co2_emitted_BR,True,CO2,False,True,Hydrogen,False,4,30,0.08,20,41190,0,4,570,1,elec_BR_PE,7.53,1155402,1,0.3,61,h2_BR_PE,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_PI,BR_PI_H2Power_CC,True,False,True,False,True,True,True,Electricity,True,False,True,True,Hydrogen,False,co2_emitted_BR,True,CO2,False,True,Hydrogen,False,4,30,0.08,20,41190,0,4,570,1,elec_BR_PI,7.53,1155402,1,0.3,61,h2_BR_PI,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_RJ,BR_RJ_H2Power_CC,True,False,True,False,True,True,True,Electricity,True,False,True,True,Hydrogen,False,co2_emitted_BR,True,CO2,False,True,Hydrogen,False,4,30,0.08,20,41190,0,4,570,1,elec_BR_RJ,7.53,1155402,1,0.3,61,h2_BR_RJ,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_RN,BR_RN_H2Power_CC,True,False,True,False,True,True,True,Electricity,True,False,True,True,Hydrogen,False,co2_emitted_BR,True,CO2,False,True,Hydrogen,False,4,30,0.08,20,41190,0,4,570,1,elec_BR_RN,7.53,1155402,1,0.3,61,h2_BR_RN,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_RS,BR_RS_H2Power_CC,True,False,True,False,True,True,True,Electricity,True,False,True,True,Hydrogen,False,co2_emitted_BR,True,CO2,False,True,Hydrogen,False,4,30,0.08,20,41190,0,4,570,1,elec_BR_RS,7.53,1155402,1,0.3,61,h2_BR_RS,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_RO,BR_RO_H2Power_CC,True,False,True,False,True,True,True,Electricity,True,False,True,True,Hydrogen,False,co2_emitted_BR,True,CO2,False,True,Hydrogen,False,4,30,0.08,20,41190,0,4,570,1,elec_BR_RO,7.53,1155402,1,0.3,61,h2_BR_RO,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_RR,BR_RR_H2Power_CC,True,False,True,False,True,True,True,Electricity,True,False,True,True,Hydrogen,False,co2_emitted_BR,True,CO2,False,True,Hydrogen,False,4,30,0.08,20,41190,0,4,570,1,elec_BR_RR,7.53,1155402,1,0.3,61,h2_BR_RR,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_SC,BR_SC_H2Power_CC,True,False,True,False,True,True,True,Electricity,True,False,True,True,Hydrogen,False,co2_emitted_BR,True,CO2,False,True,Hydrogen,False,4,30,0.08,20,41190,0,4,570,1,elec_BR_SC,7.53,1155402,1,0.3,61,h2_BR_SC,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_SP,BR_SP_H2Power_CC,True,False,True,False,True,True,True,Electricity,True,False,True,True,Hydrogen,False,co2_emitted_BR,True,CO2,False,True,Hydrogen,False,4,30,0.08,20,41190,0,4,570,1,elec_BR_SP,7.53,1155402,1,0.3,61,h2_BR_SP,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_SE,BR_SE_H2Power_CC,True,False,True,False,True,True,True,Electricity,True,False,True,True,Hydrogen,False,co2_emitted_BR,True,CO2,False,True,Hydrogen,False,4,30,0.08,20,41190,0,4,570,1,elec_BR_SE,7.53,1155402,1,0.3,61,h2_BR_SE,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_TO,BR_TO_H2Power_CC,True,False,True,False,True,True,True,Electricity,True,False,True,True,Hydrogen,False,co2_emitted_BR,True,CO2,False,True,Hydrogen,False,4,30,0.08,20,41190,0,4,570,1,elec_BR_TO,7.53,1155402,1,0.3,61,h2_BR_TO,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
