Type,location,id,edges--edge--constraints--MaxCapacityConstraint,edges--edge--constraints--CapacityConstraint,edges--edge--can_retire,edges--edge--unidirectional,edges--edge--commodity,edges--edge--can_expand,edges--edge--has_capacity,transforms--timedata,edges--edge--lifetime,edges--edge--wacc,edges--edge--capital_recovery_period,edges--edge--max_capacity,edges--edge--fixed_om_cost,edges--edge--variable_om_cost,edges--edge--investment_cost,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header,edges--edge--end_vertex,edges--edge--existing_capacity,edges--edge--capacity_size,Note
VRE,BR_AC,BR_AC_Wind_Onshore_Class1,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,100000,50000,0,1000000,system/availability_wind_onshore.csv,BR_AC_Wind_Onshore_Class1,elec_BR_AC,0,100,work in progress
VRE,BR_AC,BR_AC_Wind_Onshore_Class3,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,100000,50000,0,1000000,system/availability_wind_onshore.csv,BR_AC_Wind_Onshore_Class3,elec_BR_AC,0,100,work in progress
VRE,BR_AL,BR_AL_Wind_Onshore_Class3,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,100000,50000,0,1000000,system/availability_wind_onshore.csv,BR_AL_Wind_Onshore_Class3,elec_BR_AL,0,100,work in progress
VRE,BR_AP,BR_AP_Wind_Onshore_Class1,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,100000,50000,0,1000000,system/availability_wind_onshore.csv,BR_AP_Wind_Onshore_Class1,elec_BR_AP,0,100,work in progress
VRE,BR_AP,BR_AP_Wind_Onshore_Class3,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,100000,50000,0,1000000,system/availability_wind_onshore.csv,BR_AP_Wind_Onshore_Class3,elec_BR_AP,0,100,work in progress
VRE,BR_AM,BR_AM_Wind_Onshore_Class3,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,100000,50000,0,1000000,system/availability_wind_onshore.csv,BR_AM_Wind_Onshore_Class3,elec_BR_AM,0,100,work in progress
VRE,BR_BA,BR_BA_Wind_Onshore_Class1,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,100000,50000,0,1000000,system/availability_wind_onshore.csv,BR_BA_Wind_Onshore_Class1,elec_BR_BA,0,100,work in progress
VRE,BR_BA,BR_BA_Wind_Onshore_Class0,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,100000,50000,0,1000000,system/availability_wind_onshore.csv,BR_BA_Wind_Onshore_Class2,elec_BR_BA,0,100,work in progress
VRE,BR_BA,BR_BA_Wind_Onshore_Class3,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,100000,50000,0,1000000,system/availability_wind_onshore.csv,BR_BA_Wind_Onshore_Class3,elec_BR_BA,0,100,work in progress
VRE,BR_CE,BR_CE_Wind_Onshore_Class1,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,100000,50000,0,1000000,system/availability_wind_onshore.csv,BR_CE_Wind_Onshore_Class1,elec_BR_CE,0,100,work in progress
